LoanId;AmountDisbursed;Interest;LoanBalance;BorrowDate;Product;Branch;ClearDate;CustomerId;Gender;LoanLimit;CreditScore;loan_repayment_txn_count;loan_repayment_total_paid;loan_repayment_first_payment;loan_repayment_last_payment;loan_overpayment;missed_instalments;Industry;Business Type;Year of Establishment
935413;4000;1250;0;11/28/2025;5 WEEKS CREDIT EASE;MOLO;120625;1787;FEMALE;13000;2500;1;2600;281125;281125;0;20;Food & Hospitality;Bar/ Restaurant;2018
931751;4000;1250;0;11/25/2025;5 WEEKS CREDIT EASE;MOLO;301125;1778;FEMALE;13000;2000;1;1550;251125;251125;0;40;Wholesale & Retail Trade;Green Grocery (Fruit/Vegetables);2022
931731;3000;1000;0;11/29/2025;5 WEEKS CREDIT EASE;MOLO;291125;1777;MALE;3600;1800;1;300;291125;291125;0;50;Food & Hospitality;Retail Shop;2018
930972;4000;1250;0;11/27/2025;5 WEEKS CREDIT EASE;MOLO;281125;1776;FEMALE;13000;1500;1;1550;271125;271125;0;40;Food & Hospitality;Food Kiosks;2016
930832;5000;1500;0;11/28/2025;5 WEEKS CREDIT EASE;MOLO;281125;1775;FEMALE;13000;2500;1;1300;281125;281125;0;40;Food & Hospitality;Green Grocery (Fruit/Vegetables);2020
925550;4000;1250;0;11/26/2025;5 WEEKS CREDIT EASE;MOLO;191125;1762;FEMALE;13000;2000;1;2100;261125;261125;0;30;Fashion & Beauty Products;Second Hand Clothes;2019
922538;5000;1500;0;11/13/2025;5 WEEKS CREDIT EASE;ENGINEER;131125;1757;FEMALE;11000;2500;1;1300;131125;131125;0;40;Food & Hospitality;Retail Shop;2015
923803;4000;1250;0;11/15/2025;5 WEEKS CREDIT EASE;MOLO;171125;1721;FEMALE;13000;2000;1;1050;151125;151125;0;40;Personal Services ;Beauty Salon;2019
898359;4000;1250;0;10.10.2025;5 WEEKS CREDIT EASE;ENGINEER;100425;1714;MALE;4600;2500;1;35;101025;101025;0;50;Food & Hospitality;Green Grocery (Fruit/Vegetables);2018
908008;6000;1750;0;10/21/2025;5 WEEKS CREDIT EASE;ENGINEER;201025;1706;FEMALE;8000;2500;1;6150;211025;211025;0;0;Personal Services ;Green Grocery (Fruit/Vegetables);2018
894621;5000;1500;0;9/27/2025;5 WEEKS CREDIT EASE;ENGINEER;270925;1703;FEMALE;8000;2000;1;1300;270925;270925;0;40;Transportation ;Motor Bike Transportation;2019
890800;5000;1500;0;9/22/2025;5 WEEKS CREDIT EASE;MOLO;220925;1697;FEMALE;10000;2000;1;300;220925;220925;0;50;Food & Hospitality;Retail Shop;2020
888357;5000;1500;0;9/16/2025;5 WEEKS CREDIT EASE;ENGINEER;170925;1688;FEMALE;8000;2500;1;1300;160925;160925;0;40;Food & Hospitality;Food Kiosks;2019
886298;4000;1250;0;9/16/2025;5 WEEKS CREDIT EASE;MOLO;91225;1683;FEMALE;7000;2000;1;1060;160925;160925;0;40;Food & Hospitality;Food Kiosks;2023
877563;4000;1250;0;8/28/2025;5 WEEKS CREDIT EASE;MOLO;270825;1663;FEMALE;7000;2000;1;1870;280825;280825;0;30;Food & Hospitality;Food Kiosks;2023
853466;6000;1750;0;09.07.2025;5 WEEKS CREDIT EASE;ENGINEER;150725;1604;FEMALE;6000;2500;1;600;120925;120925;0;50;Food & Hospitality;Retail Shop;2023
868580;6000;1750;0;8/14/2025;5 WEEKS CREDIT EASE;ENGINEER;130825;1602;FEMALE;6000;2500;1;100;140825;140825;0;50;Food & Hospitality;Retail Shop;2020
852335;5000;1500;0;6/16/2025;5 WEEKS CREDIT EASE;ENGINEER;71225;1600;FEMALE;6000;2000;1;6500;160625;160625;0;0;Food & Hospitality;Food Kiosks;2020
850032;6000;1750;0;6/23/2025;5 WEEKS CREDIT EASE;ENGINEER;70825;1597;MALE;6000;2500;1;4650;230625;230625;0;20;Food & Hospitality;Meat Vendor-Butchery;2022
875564;5000;1500;0;7/29/2025;5 WEEKS CREDIT EASE;MOLO;220825;1580;MALE;7000;3000;1;2100;290725;290725;0;30;Automobile Services;Tailoring Services;2018
840380;5000;1500;0;6/23/2025;5 WEEKS CREDIT EASE;MOLO;170625;1565;MALE;6000;1500;1;1200;230625;230625;0;40;Personal Services ;Beauty Salon;2024
910762;5000;1500;0;10/24/2025;5 WEEKS CREDIT EASE;MOLO;241025;1557;FEMALE;11000;1800;1;100;251125;251125;0;50;Food & Hospitality;Food Kiosks;2020
824669;5000;1500;0;08.05.2025;5 WEEKS CREDIT EASE;MOLO;150525;1512;MALE;6000;2000;1;802;120825;120825;0;50;Agriculture ;Farming-Animal Products;2016
854682;5000;1500;0;7/17/2025;5 WEEKS CREDIT EASE;MOLO;160725;1501;MALE;9000;1800;1;1600;170725;170725;0;40;Food & Hospitality;Green Grocery (Fruit/Vegetables);2017
831510;6000;1750;0;5/28/2025;5 WEEKS CREDIT EASE;ENGINEER;290525;1497;MALE;8000;1800;1;3800;280525;280525;0;20;Food & Hospitality;Seafood- Fish vendor;2019
816561;5000;1500;0;05.05.2025;5 WEEKS CREDIT EASE;ENGINEER;260425;1480;MALE;7000;2000;1;1800;50525;50525;0;40;Natural Resources/Environmental ;Firewood & Charcoal Vendor;2019
882487;5000;1500;0;8/21/2025;5 WEEKS CREDIT EASE;MOLO;90525;1464;FEMALE;12000;2500;1;6500;100725;100725;0;0;Food & Hospitality;Food Kiosks;2018
904314;8000;2250;0;12.10.2025;5 WEEKS CREDIT EASE;MOLO;151025;1459;MALE;14000;2800;1;750;231125;231125;0;50;Food & Hospitality;Retail Shop;2012
803905;5000;1500;0;2/22/2025;5 WEEKS CREDIT EASE;MOLO;250325;1442;MALE;8000;2500;1;6500;220225;220225;0;0;Food & Hospitality;Bar/ Restaurant;2025
889817;7000;2000;0;9/18/2025;5 WEEKS CREDIT EASE;MOLO;190925;1436;FEMALE;11000;2000;1;1300;281125;281125;0;50;Food & Hospitality;Food Kiosks;2016
814745;10000;3850;0;4/24/2025;7 WEEKS CREDIT EASE;ENGINEER;50625;1425;FEMALE;10000;2500;1;9350;240425;240425;0;10;Personal Services ;Barber Shop;2018
911877;12000;4550;0;10/23/2025;7 WEEKS CREDIT EASE;ENGINEER;111025;1424;MALE;16800;2000;1;12800;271125;271125;0;50;Agriculture, Forestry & Fishing;Farming-Crop Products (Coconuts etc);2019
