LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
787083,11000,4200,0,1/31/2025,Repeat,7 WEEKS CREDIT EASE,ENGINEER,2/21/2025,1131,0,,,,,,,1,23000,1/31/2025,1/31/2025,0
768961,5000,1500,0,2/12/2024,Repeat,5 WEEKS CREDIT EASE,MOLO,12/16/2024,472,0,,,,,,,1,22460,3/3/2024,3/3/2024,2
814862,24000,8750,0,4/15/2025,Repeat,7 WEEKS CREDIT EASE,MOLO,6/5/2025,973,0,,,,,,,1,19080,4/15/2025,4/15/2025,2
723714,11000,4200,0,9/26/2024,Repeat,7 WEEKS CREDIT EASE,MOLO,12/9/2024,797,0,,,,,,,1,16200,9/26/2024,9/26/2024,0
814745,10000,3850,0,4/24/2025,Repeat,7 WEEKS CREDIT EASE,ENGINEER,6/5/2025,1425,0,,,,,,,1,13850,4/24/2025,4/24/2025,0
768623,7000,2000,0,5/12/2024,Repeat,5 WEEKS CREDIT EASE,MOLO,12/16/2024,1013,0,,,,,,,1,13700,5/14/2024,5/14/2024,0
930409,14000,7500,0,11/27/2025,Repeat,10 WEEKS CREDIT EASE,ENGINEER,1/1/2026,1424,0,,,,,,,1,13400,11/27/2025,11/27/2025,1
950799,20000,10500,30500,11/27/2025,Repeat,10 WEEKS CREDIT EASE,ENGINEER,5/2/2026,1424,0,30500,,,,,,1,13400,11/27/2025,11/27/2025,4
674583,5000,1500,0,3/28/2024,Repeat,5 WEEKS CREDIT EASE,ENGINEER,4/26/2024,1123,0,,,,,,,1,13001,3/28/2024,3/28/2024,0
931820,21000,7700,0,11/27/2025,Repeat,7 WEEKS CREDIT EASE,MOLO,12/15/2025,526,0,,,,,,,1,12800,11/27/2025,11/27/2025,3
951230,22000,11500,33500,11/27/2025,Repeat,10 WEEKS CREDIT EASE,MOLO,5/2/2026,526,0,30050,,,,,,1,12800,11/27/2025,11/27/2025,5
741422,10000,3850,0,10/31/2024,Repeat,7 WEEKS CREDIT EASE,ENGINEER,10/24/2024,1233,0,,,,,,,1,12470,10/31/2024,10/31/2024,0
661279,20000,10500,0,4/27/2024,Repeat,10 WEEKS CREDIT EASE,MOLO,4/26/2024,888,0,,,,,,,2,23500,4/27/2024,4/27/2024,0
688197,20000,10500,34000,4/27/2024,Repeat,10 WEEKS CREDIT EASE,MOLO,6/7/2024,888,1,,,,,,,2,23500,4/27/2024,4/27/2024,0
774451,11000,4200,0,12/16/2024,Repeat,7 WEEKS CREDIT EASE,ENGINEER,1/13/2025,1226,0,,,,,,,2,21540,12/16/2024,12/22/2024,0
799205,8000,3150,0,3/18/2025,Repeat,7 WEEKS CREDIT EASE,ENGINEER,3/27/2025,1425,0,,,,,,,2,20500,3/18/2025,4/24/2025,0
943949,13000,4900,17900,11/16/2025,Repeat,7 WEEKS CREDIT EASE,ENGINEER,4/1/2026,1695,0,17900,FEMALE,13000,2000,Active,7/9/2025 14:43,1,9921,11/16/2025,11/16/2025,2
661001,30000,10850,0,3/18/2024,Repeat,7 WEEKS CREDIT EASE,MOLO,4/4/2024,553,0,,,,,,,6,58500,3/18/2024,4/12/2024,0
722646,10000,3850,0,8/27/2024,Repeat,7 WEEKS CREDIT EASE,ENGINEER,10/9/2024,1113,0,,,,,,,1,9490,8/27/2024,8/27/2024,1
737139,11000,4200,17400,8/27/2024,Repeat,7 WEEKS CREDIT EASE,ENGINEER,10/15/2024,1113,1,,,,,,,1,9490,8/27/2024,8/27/2024,1
890341,49000,25000,0,9/20/2025,Repeat,10 WEEKS CREDIT EASE,MOLO,10/24/2025,851,0,,,,,,,8,74500,9/20/2025,10/24/2025,0
630551,30000,10850,0,11/27/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,1/15/2024,553,0,,,,,,,2,18500,2/13/2024,2/13/2024,7
672730,30000,15500,0,4/30/2024,Repeat,10 WEEKS CREDIT EASE,MOLO,5/27/2024,32,0,,,,,,,7,63700,4/30/2024,6/5/2024,0
689115,30000,15500,0,5/6/2024,Repeat,10 WEEKS CREDIT EASE,MOLO,9/7/2024,32,0,,,,,,,5,45500,5/6/2024,6/5/2024,0
797188,16000,8500,0,5/23/2025,Repeat,10 WEEKS CREDIT EASE,ENGINEER,10/4/2025,1104,0,,,,,,,2,18040,5/23/2025,5/23/2025,0
696088,7000,2000,0,5/23/2024,Repeat,5 WEEKS CREDIT EASE,ENGINEER,6/21/2024,1138,0,,,,,,,1,9000,5/23/2024,5/23/2024,0
876038,15000,5600,0,8/21/2025,Repeat,7 WEEKS CREDIT EASE,MOLO,8/9/2025,993,0,,,,,,,1,8829,8/21/2025,8/21/2025,3
680457,5000,1500,0,6/5/2024,Repeat,5 WEEKS CREDIT EASE,ENGINEER,5/14/2024,1157,0,,,,,,,1,8690,6/7/2024,6/7/2024,0
769704,32000,16500,0,12/17/2024,Repeat,10 WEEKS CREDIT EASE,MOLO,1/22/2025,851,0,,,,,,,6,51400,12/17/2024,1/13/2025,0
775417,24000,8750,0,12/30/2024,Repeat,7 WEEKS CREDIT EASE,MOLO,1/15/2025,973,0,,,,,,,4,33290,12/30/2024,1/20/2025,0
709643,18000,6650,0,7/18/2024,Repeat,7 WEEKS CREDIT EASE,MOLO,8/8/2024,80,0,,,,,,,4,32786,7/18/2024,8/7/2024,0
